file,top_dir,bytes,sha256,parse_ok,schema_name,schema_version,has_graph,node_count,edge_count,evidence_count
backups/chunks_50/khawrizm_graph_chunk_0022.json,backups,4843,3bd77d2b37c7d741698549e759765e56cd4256e56b928293a0adb1b67a3bbf6f,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0023.json,backups,4893,b621c9eb8bdda7c7e361c2b21d1d1fcbd698a0338e9e96872718003b97af239f,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0024.json,backups,4822,ad5dd0d63551ebc91005d19ca260d989ebbd04f52e7646edb59782aaa6e42377,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0025.json,backups,4843,048af7fe60825120e0f6fa13ed95c3f0af09ffd85aca8d7bcad156cde93cc6df,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0026.json,backups,4762,f3932e271c52952558ff3a64ac67faf7a00f568a2b2bb271b067b3f4bb6f39e1,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0027.json,backups,4655,4ee5974af46841a6ad23b421706dd62f07e4136fc1ccac6980bbd35889b9b67b,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0028.json,backups,5076,c05095d790b895b2e5531df5aadab62c635235af431c0f07609c77dae52259a0,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0029.json,backups,5075,f66c9b08d7aad128f21c743af343bf9486dae0ecfd28b5501dcd68d8b5f317ed,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0030.json,backups,4850,e1281b8723084a0b703799e01f6804e55048b5ea9e0154b6f2acb03ebcb1641c,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0031.json,backups,4762,5bd94c49117910ac12a0bad19ac4bd1e65e412e71aae4a05966e1ed6632f21e1,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0032.json,backups,4935,c49b008ff806c1bb373cec80c39731c4b0952b7ce16dc1850f85d433fa1ee5a8,True,sovereign_knowledge_graph,1.0.0,True,6,6,2
backups/chunks_50/khawrizm_graph_chunk_0033.json,backups,260,faa8adc0a6c1aae450a01362afb65827a2ce016824bdba2937be208dfedcc65b,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0034.json,backups,260,72eb59f946d502ac36aeb2393b79b2cb0d326f88ac2792644db31786fd302ad6,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0035.json,backups,260,e22ad799dc099ce88cebf1bfca1572f356617df760b00d1c715f46ab3c80de6d,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0036.json,backups,260,9977211ead93518488f8bbf6250511572a67b79f44c5540cc1b7460fb332bad8,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0037.json,backups,260,ce9bf362073be1cbfc6af9d1bb4e01ca2f6e277663d046215f60d01d62b4f4c9,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0038.json,backups,260,7d75695d78308632823ebf8591690bcc4d73a4c5168af33e0f9e77f99695827c,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0039.json,backups,260,335603a48e19250cd690c18085aa3d759a482b1e07e4ab210752d00ba1c76d23,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0040.json,backups,260,b7ff2b35cef26ebf1181a651c800c89ff0a6e9392adaf1880d3576b2effdf2da,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0041.json,backups,260,cd0991db50d3ca293526dd875f02d7272085bf78fa8410dcce57669751f0453b,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0042.json,backups,260,140b277faad808b9bddd4f11ea90facc39ede58c46dd7a35c6c6e528d83298f4,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0043.json,backups,260,c2e3cf26e4391e86632c2abf7e63428857abbe1fdc4fcf9ea5218f5de827360b,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0044.json,backups,260,125d84a98b514a62aa84205d3095377fdf1465b83ddfb8ed794f18711af42576,True,,1.0.0,True,0,0,0
